creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
lifeanywhere,https://www.youtube.com/@lifeanywhere,0.9999,0.996,7,24,3678.1,8507547,Techno Fusion HD,53100,Couple Turns Old Bus into a Luxury Tiny Home on Wheels  🚍 (by @lifeanywhere ),firme,3678.1,9647913,2026-07-21
bjornbrenton,https://www.youtube.com/@bjornbrenton,0.9983,0.965,6,24,55.4,6854459,Machine stage,2780000,This man built a massive log cabin in the forest with his own hands in just one year! @bjornbrenton,firme,55.4,11514731,2026-08-11
GrumpyToadCreations,https://www.youtube.com/@GrumpyToadCreations,0.9982,0.894,8,15,14.1,3187034,World Build,36500,"Man Built His Dream Mansion Himself and Saved $350,000 Doing It | by @GrumpyToadCreations",firme,51.2,3187034,2026-08-09
ThisIsMyAlaska,https://www.youtube.com/@ThisIsMyAlaska,0.9982,0.936,7,22,75.1,1103396,Not Fake: fyp,18700,How a Man Used 500 Massive Logs to Build a Cabin | Start to Finish by @ThisIsMyAlaska,firme,94.3,1103396,2026-08-08
Wolfpupfab,https://www.youtube.com/@Wolfpupfab,0.9967,0.93,6,10,24.1,1430788,MAKERS HD,3260,Man Spends Months Building a Hidden Underground Shelter Beneath His Home | by@Wolfpupfab,firme,94.8,1828091,2026-07-28
JulienMalara,https://www.youtube.com/@JulienMalara,0.9965,0.984,3,9,135.8,4095126,Lord Gizmo,505000,He Turned 4 Shipping Containers Into a Luxury Home | Start to Finish by @JulienMalara,firme,135.8,4095126,2026-07-18
buildersblueprint,https://www.youtube.com/@buildersblueprint,0.9949,0.961,4,20,128.1,1671528,TTI Build Stories ,1800000,Man Built a FULL HOUSE Inside a Van… And It’s Unreal! 😳. ( By ‪@buildersblueprint‬),firme,128.1,5698757,2026-08-05
AtlasSurvivalShelters,https://www.youtube.com/@AtlasSurvivalShelters,0.994,0.994,0,2,431.0,6334363,Not Fake: fyp,18700,"Man builds a $400,000 SECRET Underground Bunker | Start to Finish by @AtlasSurvivalShelters",débil,431.0,6334363,2025-06-24
Carpenter_AnXu,https://www.youtube.com/@Carpenter_AnXu,0.9929,0.967,3,12,405.9,1972111,22TechZoom,97400,Man Builds Amazing Wooden Mansion in Mountain Start to Finish by @Carpenter_AnXu,firme,405.9,1972111,2026-07-30
shurap,https://www.youtube.com/@shurap,0.9924,0.992,0,2,302.9,6320066,MrDuck104,406000,Forging Damascus steel From Steel Mesh...(@shurap),débil,302.9,6320066,2024-10-01
slothconstruction,https://www.youtube.com/@slothconstruction,0.9924,0.902,5,16,27.8,647958,WildCraft Builds,16000,Building a Dream Modern House in 28 Minutes: Complete Timelapse Magic @slothconstruction,firme,27.8,1631059,2026-08-07
DmitryLukinDIY,https://www.youtube.com/@DmitryLukinDIY,0.991,0.931,4,25,24.9,3081742,Machine stage,2780000,This man is building an incredible house in 500 days for just $5000! @DmitryLukinDIY‬,firme,1934.8,3081742,2026-08-03
MustaqimMuhammadHatta,https://www.youtube.com/@MustaqimMuhammadHatta,0.9886,0.968,2,6,67.3,2029539,Lord Gizmo,505000,"Man Turns a Giant 5,000 Liter Water Tank Into Real Boat | Start To Finish by  @MustaqimMuhammadHatta",firme,67.3,4436765,2026-07-18
NickandMaëla,https://www.youtube.com/@NickandMaëla,0.9874,0.942,3,13,70.7,1245326,Rustic Roots Build,12400,Couple Builds Stunning Off-Grid Log Cabin Using Only Hand Tools - Start to Finish @NickandMaëla,firme,106.3,1245326,2026-08-09
Worzalla_Brothers,https://www.youtube.com/@Worzalla_Brothers,0.9856,0.976,1,16,86.0,7605353,Maker World,19200,Two Brothers Turned 100-Year Abandoned SILO Into a Luxury Family Space | @Worzalla_Brothers,firme,86.0,7605353,2026-08-07
nikrijavec47,https://www.youtube.com/@nikrijavec47,0.9853,0.887,4,14,12.8,3091173,Betelhem Tech,28000,"Part 4 - 7 Years of Building a Wooden HousebyHandNoGridElectricity, for My Family|By@nikrijavec47",firme,30.4,3091173,2026-08-09
WildGnomos,https://www.youtube.com/@WildGnomos,0.9847,0.929,3,13,99.2,1003649,Quantum Build Studio,18400,Man Builds Stunning Wooden Cabin on a Remote Volcanic Island | Start to Finish by @WildGnomos,firme,597.3,1003649,2026-07-20
JerryRigEverything,https://www.youtube.com/@JerryRigEverything,0.9826,0.983,0,2,220.7,3244480,Not Fake: fyp,18700,A Man builds a SECRET Underground Bunker in his Backyard | Start to Finish by @JerryRigEverything,débil,220.7,3244480,2025-04-07
