creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
JerryRigEverything,https://www.youtube.com/@JerryRigEverything,sin_explorar,0.6847,sin explorar — predicción del modelo,10000000,1898347,0,0,0,,2,220.7,3244480,Not Fake: fyp,0
marusya_outdoors,https://www.youtube.com/@marusya_outdoors,sin_explorar,0.6796,sin explorar — predicción del modelo,20600000,72026042,0,0,0,,1,4.0,7951,Clean & Restore Tech,0
Carpenter_AnXu,https://www.youtube.com/@Carpenter_AnXu,sin_explorar,0.6477,sin explorar — predicción del modelo,965000,3268312,0,0,0,,12,405.9,1972111,22TechZoom,3
manmadecrafts,https://www.youtube.com/@manmadecrafts,sin_explorar,0.6324,sin explorar — predicción del modelo,1300000,3989777,0,0,0,,1,227.3,456332,Clean & Restore Tech,0
TheModernHomeProject,https://www.youtube.com/@TheModernHomeProject,sin_explorar,0.6117,sin explorar — predicción del modelo,402000,2451196,0,0,0,,6,328.1,1022764,Quantum Builders,0
PrimitiveTechnologyIdea,https://www.youtube.com/@PrimitiveTechnologyIdea,sin_explorar,0.6011,sin explorar — predicción del modelo,6500000,5930560,0,0,0,,3,8.4,11003,SwiftBuild,0
papatechnologies,https://www.youtube.com/@papatechnologies,sin_explorar,0.5986,sin explorar — predicción del modelo,1140000,7368057,0,0,0,,3,4.1,45996,Wood & Steel Craft,0
ThisIsMyAlaska,https://www.youtube.com/@ThisIsMyAlaska,sin_explorar,0.5933,sin explorar — predicción del modelo,371000,1216981,0,0,0,,22,75.1,1103396,Not Fake: fyp,8
OffGridLife,https://www.youtube.com/@OffGridLife,sin_explorar,0.5933,sin explorar — predicción del modelo,2540000,1542628,0,0,0,,2,3.6,851326,Makers TV,0
mwigmedia,https://www.youtube.com/@mwigmedia,probado_ok,0.58,ya os funcionó — su catálogo es mina,1370000,2675972,14,26.33,79016297,Man Builds DIY ANTI-RAIN Motorcycle | Start to Finish by @mwigmedia,5,10.7,182,Quantam Tech HD,0
freefootsteps877,https://www.youtube.com/@freefootsteps877,probado_ok,0.58,ya os funcionó — su catálogo es mina,800000,659658,3,22.51,67539599,Talented Woman Builds Modern Lake House with Bridge From Scratch | @freefootsteps877,3,62.1,2979,Survival Skills,0
AsianBushcraftHomie,https://www.youtube.com/@AsianBushcraftHomie,probado_ok,0.58,ya os funcionó — su catálogo es mina,102000,130989,1,22.33,66999233,He Left Civilization to Build a Floating Self-Sustaining Island | by @AsianBushcraftHomie,7,5.0,35931,KLIFS TECH,0
bushcraftua1,https://www.youtube.com/@bushcraftua1,probado_ok,0.58,ya os funcionó — su catálogo es mina,36800,20908,2,21.82,65470675,Man Builds 2-Room Log CABIN Underground | Start to Finish by @bushcraftua1,19,3.1,2507149,AKLA GELEN,1
RamyRC,https://www.youtube.com/@RamyRC,probado_ok,0.58,ya os funcionó — su catálogo es mina,1210000,1135938,5,17.92,53782284,Man Builds Hyperrealistic RC Plane at Scale | Airbus A350 Replica by @RamyRC,6,15.2,153566,Quantum Build Studio,1
murattuncer,https://www.youtube.com/@murattuncer,probado_ok,0.58,ya os funcionó — su catálogo es mina,181000,1265204,6,16.96,50898938,Man Builds Amazing DIY CAMPERVAN | Start to Finish Conversion by @murattuncer,9,55.2,203247,Namtum Makers,1
7Asian,https://www.youtube.com/@7Asian,probado_ok,0.58,ya os funcionó — su catálogo es mina,,,1,16.82,50479532,Man Builds a SELF-SUFFICIENT Floating Bamboo Island  (Solo!) | @7Asian,0,,,,0
LiveWithCreativity,https://www.youtube.com/@LiveWithCreativity,probado_ok,0.58,ya os funcionó — su catálogo es mina,911000,3540838,2,15.59,46795895,Man Restores 40-Years-Old Classic Motorcycle Back to New | Start to Finish by @LiveWithCreativity,3,1.6,3236,Clean & Restore Tech,0
DmitryLukinDIY,https://www.youtube.com/@DmitryLukinDIY,probado_ok,0.58,ya os funcionó — su catálogo es mina,149000,457621,3,15.52,46565586,Man Builds AMAZING House ALONE in ONLY 500 Days | Start to Finish by @DmitryLukinDIY,25,24.9,3081742,Machine stage,4
OutbackMike,https://www.youtube.com/@OutbackMike,probado_ok,0.58,ya os funcionó — su catálogo es mina,106000,183642,2,15.21,45660516,Man Turns Massive Log into Amazing CANOE | Start to Finish Build by @OutbackMike,14,18.3,552703,Lord Gizmo,2
Satisfyingtech116,https://www.youtube.com/@Satisfyingtech116,probado_ok,0.58,ya os funcionó — su catálogo es mina,224000,1479696,2,13.33,40009337,This Is How The World's Strongest Anchor Chains Are Made | by @Satisfyingtech116,0,,,,0
MrHewes,https://www.youtube.com/@MrHewes,probado_ok,0.58,ya os funcionó — su catálogo es mina,506000,368509,1,13.32,39971801,Men Fully Restore the BIGGEST GUN TANK IN THE WORLD | FV4005 Start to Finish @MrHewes,1,3.2,156,Epic Explore World,0
mikesdreambuilds,https://www.youtube.com/@mikesdreambuilds,probado_ok,0.58,ya os funcionó — su catálogo es mina,59200,21426,1,13.23,39705293,Couple Transforms $1.5M Burned Mansion Into a Luxury Dream Home | @mikesdreambuilds,4,2.3,2396138,TechFreeze,0
WildNovels,https://www.youtube.com/@WildNovels,probado_ok,0.58,ya os funcionó — su catálogo es mina,448000,736099,1,13.04,39133249,Woman Builds Off-Grid Villa in the Mountains in 210 Days | Start to Finish by @WildNovels,1,0.4,32,Hidden Cabin ,0
lesnoy_craft8607,https://www.youtube.com/@lesnoy_craft8607,probado_ok,0.58,ya os funcionó — su catálogo es mina,464000,755804,7,12.78,38362956,Man Builds a House with ABANDONED PALLETS in the Middle of the Forest | by @lesnoy_craft8607,21,3.5,824755,BRAIN TIME VT,2
tehnolexa,https://www.youtube.com/@tehnolexa,probado_ok,0.58,ya os funcionó — su catálogo es mina,155000,173732,1,12.42,37262751,Man Builds Secret Underground BUNKER in his Backyard | by @tehnolexa,2,1.0,3145,Quantum Builders,0
BDCleanup,https://www.youtube.com/@BDCleanup,probado_ok,0.58,ya os funcionó — su catálogo es mina,140000,27418,2,12.37,37108266,Cleaning the MOST POLLUTED COUNTRY in the WORLD by @BDCleanup,0,,,,0
Fabricatusueno,https://www.youtube.com/@Fabricatusueno,probado_ok,0.58,ya os funcionó — su catálogo es mina,158000,48198,3,12.28,36850722,Man Builds Amazing DIY Container Home with a Rooftop Terrace  | Low-Cost Housing @Fabricatusueno,8,4.1,508730,Machine stage,0
Mr_Ho,https://www.youtube.com/@Mr_Ho,probado_ok,0.58,ya os funcionó — su catálogo es mina,1430000,2655453,1,12.16,36500272,Man Builds DIY UFO BOAT from Scratch | Start to Finish by @Mr_Ho,26,8.8,9109816,TechFreeze,2
MrZhangsDetailing,https://www.youtube.com/@MrZhangsDetailing,probado_ok,0.58,ya os funcionó — su catálogo es mina,166000,654182,2,12.16,36490515,"Man Buys 4 FLOODED CARS for $2,150 and RESTORES them Back to New | by @MrZhangsDetailing",1,1.0,13,Creative Workshop DIY HD,0
trucks_channel_razborgruz,https://www.youtube.com/@trucks_channel_razborgruz,probado_ok,0.58,ya os funcionó — su catálogo es mina,560000,406984,3,12.12,36371907,Man Fully Assembles Mercedes TRUCK ENGINE Perfectly | Start to Finish by @trucks_channel_razborgruz,2,177.8,411359,Techno Fusion HD,0
DIY-Garage,https://www.youtube.com/@DIY-Garage,probado_ok,0.58,ya os funcionó — su catálogo es mina,2250000,15690481,1,11.67,35017078,Man Builds Tiny Houses with Mini Bricks | DIY Constructions by @DIY-Garage,0,,,,0
BendheimBoards,https://www.youtube.com/@BendheimBoards,probado_ok,0.58,ya os funcionó — su catálogo es mina,1320000,3500526,2,10.65,31971172,Man Builds Amazing DIY Container Workshop | Start to Finish by @BendheimBoards,5,1.1,16806,Not Fake: fyp,0
rcactionhomemade,https://www.youtube.com/@rcactionhomemade,probado_ok,0.58,ya os funcionó — su catálogo es mina,544000,668146,1,10.39,31174631,Man Builds Hydraulic RC Crane at Scale | Start to Finish by @rcactionhomemade,2,0.6,630380,Makerium,0
chateaudutheil,https://www.youtube.com/@chateaudutheil,probado_ok,0.58,ya os funcionó — su catálogo es mina,130000,160118,1,9.91,29725940,How Two Friends Turned Abandoned CASTLE into a 4☆HOTEL  | by @chateaudutheil,2,10.9,650166,MAKERS HD,1
DonnDIY,https://www.youtube.com/@DonnDIY,probado_ok,0.58,ya os funcionó — su catálogo es mina,958000,1070806,3,9.76,29280037,Man Spends 1000 Hours Building All-Terrain Vehicle From Old Car Parts! by @DonnDIY,0,,,,0
DesignsbyDonnie,https://www.youtube.com/@DesignsbyDonnie,probado_ok,0.58,ya os funcionó — su catálogo es mina,151000,129614,1,9.63,28902498,"Man Transforms His Backyard with DIY and Saves Over $70,000 | Start to Finish by @DesignsbyDonnie",3,3.0,696487,Makers TV,0
