title,handle,url,subs,creators,shared,overlap_pct,exclusive,lead,follow,lead_pct,median_lag,brand_sim
TTI Build Stories ,@ttienglish,https://www.youtube.com/@ttienglish,1800000,48,29,60,19,0,29,0,588,0.0
Makerium,@makeriumofficial,https://www.youtube.com/@makeriumofficial,320000,46,14,30,32,1,14,7,246,0.0
BRAIN TIME VT,@braintimetv-i7i,https://www.youtube.com/@braintimetv-i7i,33700,45,19,42,26,1,20,5,546,0.0
TechFreeze,@techfreezeofficial,https://www.youtube.com/@techfreezeofficial,3220000,43,17,40,26,2,16,11,242,0.0
Smart Fox,@smartfoxamazing,https://www.youtube.com/@smartfoxamazing,85100,39,4,10,35,0,4,0,582,0.0
Maker World,@makerworld-official,https://www.youtube.com/@makerworld-official,19200,38,15,39,23,0,15,0,491,0.0
Quantum Build Studio,@quantumbuildstudio,https://www.youtube.com/@quantumbuildstudio,18400,33,16,48,17,2,18,10,670,0.65
AKLA GELEN,@aklagelen,https://www.youtube.com/@aklagelen,1090000,33,7,21,26,0,7,0,579,0.0
Quantam Tech HD,@quantamtech,https://www.youtube.com/@quantamtech,24,32,29,91,3,2,29,6,2,0.55
KLIFS TECH,@klifstech,https://www.youtube.com/@klifstech,71100,31,16,52,15,0,17,0,636,0.0
Renovation Rescue HD,@renovationrescuehd,https://www.youtube.com/@renovationrescuehd,1310,31,11,35,20,0,11,0,479,0.0
Construcciones Salvajes,@construccionessalvajes,https://www.youtube.com/@construccionessalvajes,3650,26,9,35,17,1,8,11,194,0.0
Build Maker,@buildmakerofficial,https://www.youtube.com/@buildmakerofficial,46200,26,9,35,17,0,9,0,599,0.0
Life Rhythm TV,@liferhythmtv,https://www.youtube.com/@liferhythmtv,4350,23,12,52,11,0,12,0,802,0.0
MrS,@mrs.66,https://www.youtube.com/@mrs.66,19100,23,5,22,18,1,4,20,478,0.0
CabinCraft,@cabincraft-g7l,https://www.youtube.com/@cabincraft-g7l,6330,23,6,26,17,0,7,0,470,0.0
The Makers HD,@themakershd1,https://www.youtube.com/@themakershd1,4740,23,10,43,13,0,12,0,674,0.0
KORIX TECH,@korixtech,https://www.youtube.com/@korixtech,831,23,3,13,20,0,3,0,924,0.0
Clean & Restore Tech,@cleanrestoretech,https://www.youtube.com/@cleanrestoretech,3380,22,8,36,14,1,8,11,780,0.0
Q Makers,@qmakersstudio,https://www.youtube.com/@qmakersstudio,74,22,12,55,10,0,12,0,210,0.7
Quantum Builders,@justquantumbuilders,https://www.youtube.com/@justquantumbuilders,8730,21,7,33,14,0,8,0,620,0.65
Techno Fusion HD,@technofusionhd,https://www.youtube.com/@technofusionhd,53100,21,10,48,11,1,10,9,718,0.0
Cabin In the Woods,@cabininthewoods11,https://www.youtube.com/@cabininthewoods11,5280,21,13,62,8,2,11,15,209,0.0
22TechZoom,@22techzoom,https://www.youtube.com/@22techzoom,97400,20,8,40,12,1,7,12,462,0.0
Namtum Makers,@namtummakers,https://www.youtube.com/@namtummakers,1060,20,9,45,11,0,9,0,823,0.0
Lord Gizmo,@lordgizmo,https://www.youtube.com/@lordgizmo,505000,19,8,42,11,0,8,0,675,0.0
WildCraft Builds,@wildcraftbuildsofficial,https://www.youtube.com/@wildcraftbuildsofficial,16000,19,6,32,13,0,6,0,336,0.0
HITECH,@hitech22-m2u,https://www.youtube.com/@hitech22-m2u,208,19,9,47,10,0,9,0,847,0.0
Makers TV,@makersvt,https://www.youtube.com/@makersvt,6110,18,12,67,6,0,12,0,561,0.0
Hidden Cabin ,@hiddencabin-0,https://www.youtube.com/@hiddencabin-0,48,18,13,72,5,0,23,0,407,0.0
FixNation,@fixnation5,https://www.youtube.com/@fixnation5,1100,17,4,24,13,2,2,50,426,0.0
Innovative Tech World,@innovativetechworld668,https://www.youtube.com/@innovativetechworld668,37300,16,6,38,10,0,7,0,194,0.0
Rebuilding HD,@rebuilding-w2n,https://www.youtube.com/@rebuilding-w2n,2420,16,9,56,7,1,10,9,414,0.0
World Build,@worldbuild668,https://www.youtube.com/@worldbuild668,36500,15,6,40,9,0,6,0,696,0.0
MAKERS HD,@makershd-o9d,https://www.youtube.com/@makershd-o9d,3260,15,10,67,5,0,10,0,414,0.0
Pro Build Master,@probuildmaster-d3r2v,https://www.youtube.com/@probuildmaster-d3r2v,4800,15,5,33,10,0,5,0,559,0.0
WoodCraft Empire,@woodcraftempireofficial,https://www.youtube.com/@woodcraftempireofficial,1850,15,8,53,7,0,8,0,659,0.0
Hillside Builder,@hillsidebuilder-j6q,https://www.youtube.com/@hillsidebuilder-j6q,487,15,9,60,6,1,8,11,506,0.0
Creative Workshop DIY HD,@creativeworkshopdiyhd,https://www.youtube.com/@creativeworkshopdiyhd,50,15,11,73,4,1,10,9,262,0.0
99Techspot,@99techspot58,https://www.youtube.com/@99techspot58,100000,14,6,43,8,1,5,17,709,0.0
Rustic Roots Build,@rusticrootsbuild,https://www.youtube.com/@rusticrootsbuild,12400,14,4,29,10,0,4,0,335,0.0
SwiftBuild,@swiftbuild,https://www.youtube.com/@swiftbuild,4010,14,6,43,8,4,3,57,420,0.0
Professional Skills,@professionalskills,https://www.youtube.com/@professionalskills,12900,14,2,14,12,0,2,0,598,0.0
Wood & Steel Craft,@raepayne-j7g,https://www.youtube.com/@raepayne-j7g,850,14,4,29,10,0,4,0,587,0.0
Maexology,@maexology,https://www.youtube.com/@maexology,1970,14,6,43,8,1,6,14,404,0.0
The Builder's Stage,@joyelliott,https://www.youtube.com/@joyelliott,7,14,3,21,11,0,3,0,894,0.0
H2 EcoTech,@h2ecotech,https://www.youtube.com/@h2ecotech,183,14,4,29,10,0,4,0,194,0.0
The Building Zone,@thebuildingzone,https://www.youtube.com/@thebuildingzone,9,14,11,79,3,0,11,0,197,0.0
BUILDCRAFT WORLD DIY,@buildcraftworlddiy,https://www.youtube.com/@buildcraftworlddiy,204,13,6,46,7,0,6,0,466,0.0
Not Fake: fyp,@notfakefyp,https://www.youtube.com/@notfakefyp,18700,13,7,54,6,0,7,0,271,0.0
The Maker World,@themakerworldofficial,https://www.youtube.com/@themakerworldofficial,78,13,4,31,9,0,4,0,696,0.0
FuturisticTech,@futuristictechh,https://www.youtube.com/@futuristictechh,74600,13,7,54,6,1,6,14,230,0.0
RV-88,@rv-88-s4v,https://www.youtube.com/@rv-88-s4v,496,13,9,69,4,0,10,0,288,0.0
Making Process,@makingprocess-l4g,https://www.youtube.com/@makingprocess-l4g,19,13,7,54,6,0,7,0,983,0.0
Aether Labs Tech,@aether_labs_tech,https://www.youtube.com/@aether_labs_tech,5,13,9,69,4,0,9,0,349,0.0
Machine stage,@machinestage,https://www.youtube.com/@machinestage,2780000,12,5,42,7,0,5,0,774,0.0
Techglobal ,@techglobal10,https://www.youtube.com/@techglobal10,1380,12,3,25,9,0,3,0,614,0.0
Off-Grid Paradise,@off-grid-paradise,https://www.youtube.com/@off-grid-paradise,3300,12,3,25,9,0,3,0,986,0.0
Cabin Maker,@cabinmaker-qq,https://www.youtube.com/@cabinmaker-qq,924,12,3,25,9,1,2,33,618,0.0
Epic Timeline,@epictimeline.7,https://www.youtube.com/@epictimeline.7,35300,12,4,33,8,0,4,0,622,0.0
Renov Master,@renovmaster,https://www.youtube.com/@renovmaster,2110,11,9,82,2,0,12,0,580,0.0
TECHNOLOGY KBG,@technologykbg,https://www.youtube.com/@technologykbg,984,11,6,55,5,1,6,14,758,0.0
Explore Creators ,@explorecreators51,https://www.youtube.com/@explorecreators51,218,11,10,91,1,0,14,0,353,0.0
DIY UNIQUE CREATIONS,@diycreations68,https://www.youtube.com/@diycreations68,119,11,3,27,8,2,2,50,268,0.0
Nova Builds HD,@cyruspowell-t6m2c,https://www.youtube.com/@cyruspowell-t6m2c,2,11,5,45,6,0,6,0,737,0.0
ArtisTech,@artistech-pro,https://www.youtube.com/@artistech-pro,4,11,3,27,8,2,1,67,382,0.0
TK Maker,@tkmaker_us,https://www.youtube.com/@tkmaker_us,25100,10,2,20,8,0,2,0,760,0.0
Epic Explore World,@epicexploreworld,https://www.youtube.com/@epicexploreworld,89,10,4,40,6,1,5,17,857,0.0
ULTIMATE BUILD LAD DIY,@ultimatebuildlabdiy,https://www.youtube.com/@ultimatebuildlabdiy,2,10,5,50,5,0,5,0,509,0.0
TechTalks,@technologietalks,https://www.youtube.com/@technologietalks,1230,9,2,22,7,0,2,0,445,0.0
Vietnamese farmers 88,@nongdanvietnam88,https://www.youtube.com/@nongdanvietnam88,301,9,2,22,7,1,1,50,425,0.0
Buildora,@buildora_officials,https://www.youtube.com/@buildora_officials,51,9,8,89,1,0,8,0,821,0.0
Project Redline,@ethelberthamilton-e7t,https://www.youtube.com/@ethelberthamilton-e7t,1,9,3,33,6,0,4,0,278,0.0
Restoration II,@restorationii,https://www.youtube.com/@restorationii,6030,8,8,100,0,0,9,0,147,0.0
Quantum Markers TV,@quantummarkerstv,https://www.youtube.com/@quantummarkerstv,18,8,4,50,4,0,4,0,762,1.0
TimberLab,@timberlab-o5p,https://www.youtube.com/@timberlab-o5p,86,8,3,38,5,1,2,33,543,0.0
Buildra,@buildradiy,https://www.youtube.com/@buildradiy,720,8,0,0,8,0,0,0,,0.0
SUN Channel,@sunchannel03,https://www.youtube.com/@sunchannel03,42,8,3,38,5,0,3,0,266,0.0
COLLAB,@collab66,https://www.youtube.com/@collab66,12400,7,1,14,6,0,1,0,918,0.0
Forge 7,@forge.7.builds4423,https://www.youtube.com/@forge.7.builds4423,12,7,3,43,4,0,3,0,145,0.0
Crafted Foundations,@crafted_foundations_yt1171,https://www.youtube.com/@crafted_foundations_yt1171,241,7,2,29,5,0,2,0,704,0.0
Survival Skills,@survivalskillspr,https://www.youtube.com/@survivalskillspr,7290,7,6,86,1,4,2,67,186,0.0
Crafted Horizon,@crafted.horizon.builds2427,https://www.youtube.com/@crafted.horizon.builds2427,226,7,2,29,5,0,3,0,44,0.0
Houseline Project,@houselineproject,https://www.youtube.com/@houselineproject,5,7,5,71,2,0,5,0,296,0.0
Olivia Hunt,@oliviahunt-n3i,https://www.youtube.com/@oliviahunt-n3i,0,7,1,14,6,0,1,0,24,0.0
Lynsey Windon,@lynseywindon,https://www.youtube.com/@lynseywindon,2200,6,2,33,4,0,3,0,30,0.0
CONSTRUCTION OF SURVIVITY ,@techengineer-y00,https://www.youtube.com/@techengineer-y00,1,6,2,33,4,0,2,0,658,0.0
BI HD,@bihd-v6u,https://www.youtube.com/@bihd-v6u,7,6,5,83,1,0,5,0,507,0.0
BuildRecap TV,@buildrecaptv,https://www.youtube.com/@buildrecaptv,3,6,3,50,3,0,3,0,655,0.0
Technology & Innovations,@nickys-g4u,https://www.youtube.com/@nickys-g4u,4,6,2,33,4,1,1,50,197,0.0
CryptoThor,@cryptothor,https://www.youtube.com/@cryptothor,32900,6,2,33,4,0,2,0,1158,0.0
