title,handle,url,subs,videos,avg_views,median_views,creators_covered,attribution_rate,country,published,tier,is_seed,brand_lookalike,channel_id
TechFreeze,@techfreezeofficial,https://www.youtube.com/@techfreezeofficial,3230000,252,1293410,734338.0,45,0.96,KE,2012-01-29,A,True,False,UCUi4aspUAMcEG5ZEdnOrBQg
Makerium,@makeriumofficial,https://www.youtube.com/@makeriumofficial,325000,71,1036293,445372.0,41,1.0,,2025-01-09,A,False,False,UCTSGKTjnm1f7mQmUoJCYFsA
BRAIN TIME VT,@braintimetv-i7i,https://www.youtube.com/@braintimetv-i7i,39100,105,111661,95467.0,28,0.98,US,2025-10-19,A,True,False,UCRqbbA-AsfoNJVtZGVJzaUg
TTI Build Stories ,@ttienglish,https://www.youtube.com/@ttienglish,1800000,565,940038,3163.0,26,0.96,US,2015-05-24,A,False,False,UCmeBJBLXcXamuPWl-0t5S4w
KLIFS TECH,@klifstech,https://www.youtube.com/@klifstech,71600,482,34303,3903.5,26,0.66,US,2021-07-24,A,False,False,UCM1AYi7BlMXGlm3mFwO_s1w
AKLA GELEN,@aklagelen,https://www.youtube.com/@aklagelen,1100000,196,984460,439031.0,20,0.78,US,2016-11-12,A,True,False,UCR3rfDiOfD1hk0IEdIwusIw
Build Maker,@buildmakerofficial,https://www.youtube.com/@buildmakerofficial,46800,32,479110,91337.5,18,0.91,,2025-07-31,A,False,False,UCpRlEtkPsCIeKiYzovDcw2Q
WildCraft Builds,@wildcraftbuildsofficial,https://www.youtube.com/@wildcraftbuildsofficial,17400,38,87090,8572.0,15,0.66,US,2020-10-28,A,False,False,UClDaJ8_Bt76DV1pX9AQT4KQ
Construcciones Salvajes,@construccionessalvajes,https://www.youtube.com/@construccionessalvajes,3650,31,18458,1086.0,15,0.93,ES,2025-12-02,A,False,False,UCqQZwIRzVmyjwNx7NS1QsxQ
22TechZoom,@22techzoom,https://www.youtube.com/@22techzoom,97900,276,121050,2392.5,14,0.43,AE,2022-11-26,A,True,False,UCZDPCrQUP3Z-qqZTyMdBU1Q
CabinCraft,@cabincraft-g7l,https://www.youtube.com/@cabincraft-g7l,6430,37,89828,15932.0,13,1.0,US,2026-04-25,A,False,False,UCZzO1oOuuX_6KZjq6xYIw_g
99Techspot,@99techspot58,https://www.youtube.com/@99techspot58,101000,325,68753,7638.0,12,0.36,AE,2022-07-19,A,False,False,UC6J5mYhVIIvmuPE96g0JhDw
Quantum Build Studio,@quantumbuildstudio,https://www.youtube.com/@quantumbuildstudio,18500,59,82261,4708,12,0.79,US,2025-05-17,A,False,True,UCEyX6-d8pFnqo31naWirgEg
Maker World,@makerworld-official,https://www.youtube.com/@makerworld-official,21300,47,163851,42124.0,11,0.87,,2025-09-22,A,True,False,UCAEDJDDqa-zIdLF42IAGdxQ
Techglobal ,@techglobal10,https://www.youtube.com/@techglobal10,1380,134,2434,265.5,11,0.24,US,2025-05-09,A,False,False,UC3oGBDnn5Ykq0vzmJM-xOsA
Q Makers,@qmakersstudio,https://www.youtube.com/@qmakersstudio,74,28,553,73.0,11,0.79,KR,2020-01-11,A,False,True,UCIcrk1mdMveuwhZB7cY1RkQ
Lord Gizmo,@lordgizmo,https://www.youtube.com/@lordgizmo,507000,761,268901,16000.0,10,0.46,IE,2019-01-21,A,True,False,UCtNqDwpTHxhT4b0VIZ680Tw
Smart Fox,@smartfoxamazing,https://www.youtube.com/@smartfoxamazing,85200,114,216814,4500,10,0.8,,2023-11-02,A,False,False,UCyQXx9LyvFYCgt71eqdEPjQ
FuturisticTech,@futuristictechh,https://www.youtube.com/@futuristictechh,74500,840,28235,525.5,10,0.26,US,2023-07-01,A,False,False,UCrq8njNr92EBuA4KXJX3OiQ
Life Rhythm TV,@liferhythmtv,https://www.youtube.com/@liferhythmtv,10200,31,76310,15619,10,0.97,,2026-03-28,A,False,False,UCtwZFBGLkcjJhpR7OC6bZPw
Quantum Builders,@justquantumbuilders,https://www.youtube.com/@justquantumbuilders,8730,34,50841,7287,10,0.86,ES,2018-06-15,A,False,True,UCZBg7QQt-eyOWKZm81sOcRw
Pro Build Master,@probuildmaster-d3r2v,https://www.youtube.com/@probuildmaster-d3r2v,5280,36,21312,1986.5,10,0.63,US,2026-02-09,A,False,False,UCvc646TE81_c7mGHxBXwRrg
HITECH,@hitech22-m2u,https://www.youtube.com/@hitech22-m2u,207,31,1507,83,10,0.74,CA,2025-10-25,A,False,False,UCFHG4aDDFXYtPOqX9TIORsw
Makers TV,@makersvt,https://www.youtube.com/@makersvt,8050,28,91375,60844.0,9,0.96,,2023-09-12,A,False,False,UCuasWfU-0UElH2NhE0WE3yA
Renovation Rescue HD,@renovationrescuehd,https://www.youtube.com/@renovationrescuehd,1310,34,443,32.0,9,0.91,US,2025-11-26,A,False,False,UCrhZmjez_XLtF--5TYxG2cw
Gear Tech HD,@geartechhd,https://www.youtube.com/@geartechhd,476000,535,231939,28111,8,0.22,US,2019-07-04,A,False,False,UC3EnRkFH1foTeapIY6ixijQ
World Build,@worldbuild668,https://www.youtube.com/@worldbuild668,43500,27,428712,93104,8,0.52,VN,2024-02-27,A,False,False,UCQYetX_9k4Sl-r-HOLVvKnA
Off-Grid Paradise,@off-grid-paradise,https://www.youtube.com/@off-grid-paradise,3560,12,57946,25346.0,8,1.0,US,2026-04-11,A,False,False,UCWQVN5Q_kb9W2dl_aFigbJA
TechTalks,@technologietalks,https://www.youtube.com/@technologietalks,1230,526,441,11.0,8,0.16,US,2024-09-24,A,False,False,UCXecRFZYMuaGLSCS4l-NiGw
KORIX TECH,@korixtech,https://www.youtube.com/@korixtech,829,31,159,13,8,0.81,TR,2026-03-22,A,False,False,UCSLiM_Gh5nfyDhFYGwdG2Qg
Cabin Maker,@cabinmaker-qq,https://www.youtube.com/@cabinmaker-qq,770,18,6175,2877.5,8,0.89,US,2025-08-15,A,False,False,UCSwsVggYgOy-XLDAYlZjc2A
Maker World Studio,@makerworldstudio,https://www.youtube.com/@makerworldstudio,487,32,4091,49,8,0.79,US,2026-02-15,A,False,False,UCZqGixeDUeClt1mYAbuwAFw
