creator,url,distributors,videos,best_reach,best_outlier,creator_subs,best_title,last_seen
lifeanywhere,https://www.youtube.com/@lifeanywhere,24,25,9647913,3678.1,46800,Family Transforms School Bus into Dream Home | 2-YEAR TIMELAPSE by @lifeanywhere,2026-07-21
LetsBuildAHouse,https://www.youtube.com/@LetsBuildAHouse,23,23,1349258,35.9,1960,Talented Family Builds Their Dream Villa in 700 Days | Start to Finish Full process @LetsBuildAHouse,2026-08-05
ThisIsMyAlaska,https://www.youtube.com/@ThisIsMyAlaska,22,24,1103396,84.9,371000,How a Man Used 500 Massive Logs to Build a Cabin | Start to Finish by @ThisIsMyAlaska,2026-08-08
ProjectswithChristineJesse,https://www.youtube.com/@ProjectswithChristineJesse,16,16,5245004,289.3,15000,Couple Builds a Dream A-Frame Cabin in the Forest | Start to Finish @ProjectswithChristineJesse,2026-08-04
slothconstruction,https://www.youtube.com/@slothconstruction,16,18,1631059,27.8,8510,Building a Modern House in 20 Minutes TIMELAPSE | Start to Finish by @slothconstruction,2026-08-07
GrumpyToadCreations,https://www.youtube.com/@GrumpyToadCreations,15,15,3187034,51.2,12000,"Man Built His Dream Mansion Himself and Saved $350,000 Doing It | by @GrumpyToadCreations",2026-08-09
NickandMaëla,https://www.youtube.com/@NickandMaëla,13,14,1245326,69.8,155000,Couple Builds Stunning Off-Grid Log Cabin Using Only Hand Tools - Start to Finish @NickandMaëla,2026-08-09
WoodsandWondersCabin,https://www.youtube.com/@WoodsandWondersCabin,12,12,2383567,17.4,3690,Woman Builds Dream Wood Cabin 25 Minutes -TIMELAPSE | Start to Finish by @WoodsandWondersCabin,2026-06-30
Carpenter_AnXu,https://www.youtube.com/@Carpenter_AnXu,12,12,1972111,615.2,965000,Man Builds Amazing Wooden Mansion in Mountain Start to Finish by @Carpenter_AnXu,2026-07-30
LifeontheMoose,https://www.youtube.com/@LifeontheMoose,12,12,1189773,185.2,58400,Man Builds an Incredible Dream Log House in the Wild Forest | Start to Finish@LifeontheMoose,2026-08-01
ThanhSuperBoat,https://www.youtube.com/@ThanhSuperBoat,11,11,3258427,35.5,94600,Man Builds SU35 Jet Boat from Scratch | Start to Finish by @ThanhSuperBoat,2026-07-05
AloshaLynov,https://www.youtube.com/@AloshaLynov,11,11,2122866,3.9,34900,"Man Builds Underground Hobbit Home for $2,000 | by @AloshaLynov",2026-07-24
BuildingInNature,https://www.youtube.com/@BuildingInNature,11,11,1453744,7.9,15300,Man Builds Incredible Wooden Tree House in the Woods | From Start to Finish by @BuildingInNature,2026-08-07
