confianza,similitud,palabras_genericas,VIDEO_SIN_CREDITO_titulo,VIDEO_SIN_CREDITO_canal,VIDEO_SIN_CREDITO_url,perpetuidad,views,dias,CREADOR_INFERIDO,REFERENCIA_que_si_acredita_titulo,REFERENCIA_canal,palabras_en_comun
ALTA,1.0,,Man Builds Incredible DIY Wood Cabin in the Woods Start to Finish,Build Maker,https://www.youtube.com/watch?v=oZS7oTemT_E,11985386,8692182,346,@DmitryLukinDIY,Man Builds Amazing DIY Wood Cabin in the Woods Start to Finish by@DmitryLukinDIY,99Techspot,"cabin, wood, woods"
ALTA,1.0,,Army Family Builds Their Dream Home,10 Royal Tech,https://www.youtube.com/watch?v=yi0iNPW4YOw,4366777,2947838,278,@LetsBuildAHouse,Army Couple Builds Dream Home from Scratch | Complete Build Timelapse by @LetsBuildAHouse‬,99Techspot,"army, dream, home"
ALTA,1.0,,Man Builds MASSIVE Floating Bamboo ISLAND | From Start to Finish ,Quantum Build Studio,https://www.youtube.com/watch?v=yFrm_9m4MKQ,1797154,1335294,374,@AsianBushcraftHomie,Man Builds a MASSIVE Floating Bamboo Island from Scratch | Full Build by @AsianBushcraftHomie,Mr.RESTORIX,"bamboo, floating, island, massive"
ALTA,1.0,,Couple Builds an Incredible Off-Grid Log Cabin Deep in the Forest Over 2 Years,Built Marvels,https://www.youtube.com/watch?v=9r-fFsfC_HM,906506,154522,15,@NickandMaëla,Couple Builds Incredible Off-Grid Log Cabin in Deep Forest - Start to Finish @NickandMaëla,Pro Build Master,"cabin, deep, forest, grid, log, off"
ALTA,1.0,,"Man Spent 2 Years Turning an Old Horse Stable Into His Dream Home Saved $50,000 | Start to Finish",World Build,https://www.youtube.com/watch?v=kV-Azi80BXU,895441,252144,38,@Bochi-Hut,A 90-Year-Old Man Spent 5 Years Building His Dream Home @Bochi-Hut,BRAIN TIME VT,"dream, home, spent"
ALTA,1.0,SÍ — revisar,Man Builds Cozy Log Cabin with Chimney in the Forest | Start to Finish,Maker World,https://www.youtube.com/watch?v=rNajENmlA6Y,644546,455912,320,@WoodsandWondersCabin,Woman Builds a Beautiful Log Cabin in the Forest | Start to Finish @WoodsandWondersCabin,BRAIN TIME VT,"cabin, forest, log"
ALTA,1.0,,This Man is Turning a Scrap Shipping Containers into a LUXURY HOME!,10 Royal Tech,https://www.youtube.com/watch?v=vMhCFVlPHYg,555609,320224,180,@JulienMalara,Man Builds DIY Luxury Home from 4 Shipping Containers | Full Build @JulienMalara​,TechFreeze,"containers, home, luxury, shipping"
ALTA,1.0,,The Future of Building Is Here — Mind Blowing CONSTRUCTION Technologies You Must See,Lord Gizmo,https://www.youtube.com/watch?v=YICbbxOn1KI,490918,312519,235,@structuredbuildandliftsyst1396,CONSTRUCTION TECHNOLOGIES YOU MUST SEE,KLIFS TECH,"construction, must, technologies"
ALTA,1.0,,EXTREME Forestry Machines You Need To See | Powerful Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=KcV9BkkyT9Q,488821,479159,1148,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Crazy Powerful MACHINES And Innovative Technologies That Are On Another Level,Lord Gizmo,https://www.youtube.com/watch?v=PmY2BEBcl2w,462775,460910,1250,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,This Man Spent 7 Years Building His Dream Log Cabin - Full Build by nikrijavec47,The Builders World,https://www.youtube.com/watch?v=Wdj4Mkhec4g,274077,100355,64,@FinnishPlayground,Man Spent 7 Years Building His Family's DREAM Log Cabin | Start to Finish by @FinnishPlayground,World Build,"cabin, dream, log, spent"
ALTA,1.0,,CRAZY Powerful And Impressive Machines Operating At An Insane Level,Lord Gizmo,https://www.youtube.com/watch?v=0dflQzcRbgE,272852,264505,1084,@belstonefence3442,Amazing Machines Operating at an INSANE LEVEL ▶3,TechFreeze,"insane, level, machines, operating"
ALTA,1.0,,Family build their off-grid cabin in Alaska amidst a snowstorm |,Maker World,https://www.youtube.com/watch?v=XRtxjNNvgtw,271299,178500,258,@northtoalaska2022,The couple is building their off-grid cabin in Alaska amidst a snowstorm | @northtoalaska2022,MrS,"alaska, amidst, cabin, grid, off, snowstorm"
ALTA,1.0,,This Couple Built an Incredible Container Home with No Experience,TECH REVIEWS,https://www.youtube.com/watch?v=ubvumDA7c5g,263059,66551,31,@BuildStudioHQ,Couple Builds SHIPPING CONTAINER HOME With No Experience | by @BuildStudioHQ,Quantum Builders,"container, experience, home"
ALTA,1.0,,Jaw-Dropping CRAZY Powerful Machines and Heavy-Duty Equipment That Are on Another Level,Lord Gizmo,https://www.youtube.com/watch?v=9ARZuFVY34I,262887,244243,882,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Most Unusual Vehicles,99Techspot,https://www.youtube.com/watch?v=5AT41WsmDbI,216851,216851,1377,@1BillionTech,Most Unusual Vehicles,22TechZoom,"most, unusual, vehicles"
ALTA,1.0,SÍ — revisar,Old Man Built a Giant Log House in the Forest with a Hidden 2-Bedroom Basement in 2 Years,World Build,https://www.youtube.com/watch?v=ry3FoNcbBzo,212806,55650,33,@КарельскийДилетант,Man Build a Log House in the Forest | Start to Finish by @КарельскийДилетант,B P C,"forest, house, log"
ALTA,1.0,,He Built A Massive Wooden Mansion In The Mountains Using Only Traditional Joinery,KLIFS TECH,https://www.youtube.com/watch?v=lp9ITPwwO-w,208439,166133,475,@Carpenter_AnXu,Man Builds a Stunning Wooden Mansion in the Mountains Alone | Start to Finish by @Carpenter_AnXu,TechTalks,"mansion, mountains, wooden"
ALTA,1.0,,A man transforms his backyard into a stunning swimming pool in under 60 days by| Eric Le Carreleur,Rebuilding HD,https://www.youtube.com/watch?v=oJEYu9O0iYg,171904,79871,107,@rlcmaker,Man Builds Amazing SWIMMING POOL in His Backyard - Start to Finish by @rlcmaker,Quantam Tech HD,"backyard, pool, swimming"
ALTA,1.0,,MILITARY TECHNOLOGIES THAT ARE ON ANOTHER LEVEL,99Techspot,https://www.youtube.com/watch?v=KNZFSDcrwcc,144279,136148,949,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,He Transforms an Old Bus into Luxury Mobile Home in 1 Week. Full Transformation Process,KLIFS TECH,https://www.youtube.com/watch?v=lN33Qqs6v4Y,124126,92226,374,@enancinar,Man Transforms Old Bus into Luxury Mobile Home | Start to Finish by @enancinar,Makerium,"bus, home, luxury, mobile, transforms"
ALTA,1.0,,Modern POWERFUL Agriculture Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=2te-9_M0W_Q,121399,120018,1201,@nexat_agriculture,Modern Agriculture Machines That Are On Another Level,KLIFS TECH,"agriculture, another, level, machines, modern"
ALTA,1.0,SÍ — revisar,Man Builds an Incredible Log Cabin Alone in the Forest | DIY Log Cabin | Full Start to Finish,Rustic Roots Build,https://www.youtube.com/watch?v=ZPLIegTxy80,109752,34474,47,@bjornbrenton,This man built a massive log cabin in the forest with his own hands in just one year! @bjornbrenton,Machine stage,"cabin, forest, log"
ALTA,1.0,,Man Builds Dream Log Cabin in the Wilderness | From Start to Finish,Smart Fox,https://www.youtube.com/watch?v=n0558p_Rn0c,107582,84226,446,@TheOutsiderCabin,Father & Son Build their Dream Log Cabin in the Canadian Wilderness @TheOutsiderCabin @QuantumMakers,TimberLab,"cabin, dream, log, wilderness"
ALTA,1.0,,Man Survives Alone in Wilderness – Building a Stone and Wood Cabin,Farm Tastic,https://www.youtube.com/watch?v=zhBZ0lIilg0,91918,72868,466,@Lesnoy_Craft,He Built a Stone Cabin Alone in the Wilderness Start to Finish | (by @Lesnoy_Craft),TTI Build Stories ,"cabin, stone, wilderness"
ALTA,1.0,,Man Builds Incredible Underground Log Cabin in the Forest | Start to Finish,Quantum Build Studio,https://www.youtube.com/watch?v=rl5KBHqdHXs,89661,62900,312,@bushcraftua1,Man Built an UNDERGROUND Log Cabin: Start to Finish by @bushcraftua1,SmartTechZone,"cabin, log, underground"
ALTA,1.0,,Cool And Powerful Agriculture Machines That Are At Another Level,Lord Gizmo,https://www.youtube.com/watch?v=nDqGkHGh39c,84571,83118,1164,@morosindustriashidraulicas,Powerful Machines that are on Another Level▶2,TechFreeze,"another, level, machines, powerful"
ALTA,1.0,,Build the cheapest wooden house in 5 days | Complete construction process,Cabin Maker,https://www.youtube.com/watch?v=FJHGKKms5CE,81802,12884,13,@LifeontheMoose,Man Builds The Cheapest Wooden House In Just 10 Days  Full Construction Process @LifeontheMoose,Woodworking TV,"cheapest, construction, house, wooden"
ALTA,1.0,,Innovative Construction Technologies That Have Reached A New Level,Lord Gizmo,https://www.youtube.com/watch?v=0McXZ0b0S2A,78833,63522,494,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,,He Built An Unbreakable A-Frame Log Cabin Alone In The Wilderness: Full Build Journey,KLIFS TECH,https://www.youtube.com/watch?v=U0mRGYb2_sk,71624,59270,545,@lifeinthesiberianforest1,Man Building a Log Cabin in the Wilderness — Full Process @lifeinthesiberianforest1,BRAIN TIME VT,"cabin, log, wilderness"
ALTA,1.0,,He Builds a Luxury Tiny Home on Wheels. Full Construction Process,KLIFS TECH,https://www.youtube.com/watch?v=_8RkhzhQ-I8,70951,50588,328,@buildersblueprint,Man Builds Luxury Tiny Home on Wheels | Start to Finish Build by @buildersblueprint,TechFreeze,"home, luxury, tiny, wheels"
ALTA,1.0,,MILITARY ARMORED VEHICLES,10 Royal Tech,https://www.youtube.com/watch?v=NTY_K0AKIMY,66320,49154,371,@dalmaspoldajambi,MILITARY ARMORED VEHICLES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"armored, military, vehicles"
ALTA,1.0,SÍ — revisar,Man Builds an Amazing DIY Wood Cabin Deep in the Forest | Full Start to Finish,Build Maker,https://www.youtube.com/watch?v=BMXgtIx3xZU,65509,39231,199,@andersboisentinyhouse,Man Builds Beautiful DIY Wood Cabin in the Forest - Start to Finish Build @andersboisentinyhouse,Pro Build Master,"cabin, forest, wood"
ALTA,1.0,SÍ — revisar,The girl built her dream house in the forest,HITECH,https://www.youtube.com/watch?v=MXiMts7KGrI,62339,22476,62,@BushcraftIdeas-e9q,I Build My DREAM House in the Forest in 90 Days From Start to Finish @BushcraftIdeas-e9q,TechTalks,"dream, forest, house"
