creator,url,distributors,uploads,median_outlier,max_outlier
Mr_Ho,https://www.youtube.com/@Mr_Ho,26,32,0.97,19.2
DmitryLukinDIY,https://www.youtube.com/@DmitryLukinDIY,25,33,1.18,2762.12
lifeanywhere,https://www.youtube.com/@lifeanywhere,24,27,2.14,4547.37
bjornbrenton,https://www.youtube.com/@bjornbrenton,23,25,2.73,63.53
LetsBuildAHouse,https://www.youtube.com/@LetsBuildAHouse,23,27,1.06,32.63
ThisIsMyAlaska,https://www.youtube.com/@ThisIsMyAlaska,22,25,1.52,74.91
lesnoy_craft8607,https://www.youtube.com/@lesnoy_craft8607,21,27,0.78,1457.25
BuildersBlueprint,https://www.youtube.com/@BuildersBlueprint,20,26,0.93,188.5
bushcraftua1,https://www.youtube.com/@bushcraftua1,19,20,0.89,87.06
ProjectswithChristineJesse,https://www.youtube.com/@ProjectswithChristineJesse,16,17,1.0,197.38
Worzalla_Brothers,https://www.youtube.com/@Worzalla_Brothers,16,18,0.54,41.81
slothconstruction,https://www.youtube.com/@slothconstruction,16,21,1.13,34.98
lesnoy,https://www.youtube.com/@lesnoy,15,24,1.18,677.2
GrumpyToadCreations,https://www.youtube.com/@GrumpyToadCreations,15,15,2.86,47.39
luxonbushcraft,https://www.youtube.com/@luxonbushcraft,14,15,0.71,114.0
MontanaHaven,https://www.youtube.com/@MontanaHaven,14,16,1.45,37.55
OutbackMike,https://www.youtube.com/@OutbackMike,14,15,2.69,15.49
WildGnomos,https://www.youtube.com/@WildGnomos,13,19,2.64,599.39
NickandMaëla,https://www.youtube.com/@NickandMaëla,13,15,0.99,61.04
nikrijavec47,https://www.youtube.com/@nikrijavec47,13,14,1.27,60.83
Carpenter_AnXu,https://www.youtube.com/@Carpenter_AnXu,12,13,2.5,573.36
my_off-grid_story,https://www.youtube.com/@my_off-grid_story,12,14,0.85,497.3
LifeontheMoose,https://www.youtube.com/@LifeontheMoose,12,13,1.69,166.8
serkanbilgin27,https://www.youtube.com/@serkanbilgin27,12,13,0.4,35.67
WoodsandWondersCabin,https://www.youtube.com/@WoodsandWondersCabin,12,14,1.74,10.5
ThanhSuperBoat,https://www.youtube.com/@ThanhSuperBoat,11,13,0.73,30.02
buildinginnature,https://www.youtube.com/@buildinginnature,11,11,1.15,10.82
AloshaLynov,https://www.youtube.com/@AloshaLynov,11,14,1.14,4.69
normalguydoesitall,https://www.youtube.com/@normalguydoesitall,10,12,1.41,137.91
Wolfpupfab,https://www.youtube.com/@Wolfpupfab,10,15,4.39,90.47
norusarubushcraft,https://www.youtube.com/@norusarubushcraft,10,18,0.97,76.95
andrewryanpov,https://www.youtube.com/@andrewryanpov,10,11,1.42,45.63
naturalloghouse,https://www.youtube.com/@naturalloghouse,10,10,0.33,44.22
LankHome,https://www.youtube.com/@LankHome,10,14,0.85,14.56
matt.jacobs1,https://www.youtube.com/@matt.jacobs1,10,11,0.88,3.98
JulienMalara,https://www.youtube.com/@JulienMalara,9,11,1.92,112.76
murattuncer,https://www.youtube.com/@murattuncer,9,10,0.6,58.05
ArtSportArtSport,https://www.youtube.com/@ArtSportArtSport,9,9,2.67,46.15
juanxiaoliu,https://www.youtube.com/@juanxiaoliu,9,12,1.48,22.43
RRBuildings,https://www.youtube.com/@RRBuildings,9,12,1.2,20.11
kbuild,https://www.youtube.com/@kbuild,9,10,0.4,3.39
Korytan,https://www.youtube.com/@Korytan,8,9,0.37,95.59
AsianBushcraftHomie,https://www.youtube.com/@AsianBushcraftHomie,8,10,4.25,94.5
LiveDontWatch,https://www.youtube.com/@LiveDontWatch,8,9,1.27,79.78
Construyendo-Juntos,https://www.youtube.com/@Construyendo-Juntos,8,12,1.37,40.4
RoughStyle,https://www.youtube.com/@RoughStyle,8,10,0.84,8.57
Fabricatusueno,https://www.youtube.com/@Fabricatusueno,8,10,0.63,5.66
Bochi-Hut,https://www.youtube.com/@Bochi-Hut,8,10,2.02,3.99
VillaAroldi,https://www.youtube.com/@VillaAroldi,7,7,7.2,478.49
yudaikawase,https://www.youtube.com/@yudaikawase,7,10,0.54,214.16
homesteadingdays,https://www.youtube.com/@homesteadingdays,7,8,1.47,133.39
woodjunkie_yt,https://www.youtube.com/@woodjunkie_yt,7,9,1.96,67.12
beccanlevisalaska,https://www.youtube.com/@beccanlevisalaska,7,8,1.22,25.94
Nasatchannel,https://www.youtube.com/@Nasatchannel,7,9,1.0,25.6
QuantumMakers,https://www.youtube.com/@QuantumMakers,7,23,1.0,20.11
bogdanintheforest4382,https://www.youtube.com/@bogdanintheforest4382,7,7,1.41,17.67
mypersonaljournal,https://www.youtube.com/@mypersonaljournal,7,7,1.15,14.59
frengen_engineering,https://www.youtube.com/@frengen_engineering,7,9,1.19,4.4
PolissyaBushcraft,https://www.youtube.com/@PolissyaBushcraft,6,8,1.09,971.88
themodernhomeproject,https://www.youtube.com/@themodernhomeproject,6,6,0.75,192.17
ramizinthewild,https://www.youtube.com/@ramizinthewild,6,8,1.31,147.32
MustaqimMuhammadHatta,https://www.youtube.com/@MustaqimMuhammadHatta,6,9,4.56,47.7
BushcraftIdeas-e9q,https://www.youtube.com/@BushcraftIdeas-e9q,6,10,1.19,26.42
RamyRC,https://www.youtube.com/@RamyRC,6,7,0.27,15.76
DemasiLogCabin,https://www.youtube.com/@DemasiLogCabin,6,7,1.0,4.26
TheOutsiderCabin,https://www.youtube.com/@TheOutsiderCabin,6,6,1.02,2.39
ErikGrankvist,https://www.youtube.com/@ErikGrankvist,6,6,0.87,1.69
DashingAxe,https://www.youtube.com/@DashingAxe,5,8,0.96,231.21
enancinar,https://www.youtube.com/@enancinar,5,7,5.1,79.81
LesBricoloveurs,https://www.youtube.com/@LesBricoloveurs,5,7,1.79,63.89
LeChantierdesMax,https://www.youtube.com/@LeChantierdesMax,5,7,2.93,37.74
MySelfReliance,https://www.youtube.com/@MySelfReliance,5,6,2.01,32.41
mlgkontejneri3283,https://www.youtube.com/@mlgkontejneri3283,5,6,0.9,29.22
choigotv001,https://www.youtube.com/@choigotv001,5,5,1.0,25.08
lifeinthesiberianforest1,https://www.youtube.com/@lifeinthesiberianforest1,5,5,0.75,17.96
