perpetuity_views,views,interest,title,channel_title,entra_por,source_handle,perp_outlier,xd_winners,xd_distributors,age_days,seconds,confidence,video_id,url,published,description
15770917,14845813,89.2,Couple Transforms Bus into Amazing Mobile Home | Start to Finish Build by  @lifeanywhere,TechFreeze,crédito en título,lifeanywhere,18.38,15,28,938,993,alta,ngT4BG_7v-8,https://www.youtube.com/watch?v=ngT4BG_7v-8,2024-01-16T12:00:40Z,"Embark on an extraordinary journey as the dynamic duo behind ""LifeAnywhere"" unveils the mesmerizing transformation of a simple bus into a spectacular mobile home! Join us for a riveting start-to-finish build experience, witnessing the magic unfold step by step. From innovative design concepts to practical solutions, this couple turns their vision into reality, creating a stunning mobile sanctuary. Immerse yourself in the world of DIY wonders and nomadic dreams with LifeAnywhere's awe-inspiring p"
13087716,9043609,89.0,One Man Transforms a Giant Tree into Massive Boat | Start to Finish Build by @OutbackMike,TechFreeze,crédito en título,OutbackMike,15.25,10,17,298,1495,alta,AhtgehV12z8,https://www.youtube.com/watch?v=AhtgehV12z8,2025-10-17T13:00:19Z,"A retired military pilot takes on one of the most ambitious survival builds ever attempted. In this full start-to-finish journey, Outback Mike transforms a massive 50-year-old tree trunk into a fully functional hand-carved dugout canoe, blending ancient craftsmanship with modern precision.  From the first cut of the chainsaw to the final glide across open water, every stage of the process showcases remarkable patience, endurance, and skill. What begins as raw timber from Newcastle, Australia, sl"
11985386,8692182,63.1,Man Builds Incredible DIY Wood Cabin in the Woods Start to Finish,Build Maker,forma de proyecto único,,65.39,0,0,346,1828,alta,oZS7oTemT_E,https://www.youtube.com/watch?v=oZS7oTemT_E,2025-08-30T11:00:18Z,"It’s incredible what one man can achieve in just a year. Meet Bjorn Brenton, 22 years old, a passionate outdoor enthusiast who loves camping, hiking, and exploring the wild. He always dreamed of living in a wooden cabin deep in the forest—and this video captures his dream coming true. With his own camera, he documented every moment, bringing you along to feel the nature, the seasons, and the pure wilderness.  Don’t forget to LIKE, SHARE & SUBSCRIBE for more amazing DIY builds and timelapse const"
11607684,5186698,81.8,Man Transforms 8 Water Tanks into Amazing Boat | Start to Finish by @araujocaiaque,TechFreeze,crédito en título,araujocaiaque,13.53,3,6,98,1264,alta,KiR0VvH-peg,https://www.youtube.com/watch?v=KiR0VvH-peg,2026-05-05T11:00:36Z,"Join Araujo as he transforms eight plastic drums into a fully functional boat using detailed hand-built construction techniques. Witness everything from cutting and shaping the hull to reinforcing the frame, finishing the structure, and testing it on water. Will he be successful?  0:00 – A Boat Made from Plastic Drums   0:30 – Cutting Them Open   1:10 – Building the Frame   2:50 – The Hull Takes Shape   4:20 – The Front Gets Tricky   5:46 – Shaping With Heat   8:05 – Closing the Back   10:00 – G"
11514731,3731754,93.7,Man Spent Two Years Building HUGE Wooden House for his Family | Start to Finish by @bjornbrenton,World Build,crédito en título,bjornbrenton,54.11,16,24,50,2617,media,7-NCOGnZjKE,https://www.youtube.com/watch?v=7-NCOGnZjKE,2026-06-22T10:30:22Z,"🔥 This man dedicated two years of his life to fulfilling a dream many considered impossible: building a massive wooden house for his family with his own hands.  From the initial rough logs in the wilderness, he gradually transformed the barren land into a sturdy, warm, and loving home. No professional construction team, no expensive modern machinery, just perseverance, determination, and tireless hands.  In this video, you'll follow the entire journey from start to finish: from preparing materia"
10427029,7081512,88.5,Man Builds DIY UFO Boat with Car Engine | Start to Finish by @Mr_Ho,Makerium,crédito en título,Mr_Ho,8.76,9,29,283,1375,alta,nchxBOrgoEo,https://www.youtube.com/watch?v=nchxBOrgoEo,2025-11-01T11:01:34Z,"A dream turns into reality — and what once seemed impossible takes shape before your eyes. In this video, witness how Mr. Ho transforms a vivid vision of a UFO gliding over a river into the world’s first working UFO boat. From shaping the fiberglass body and installing a custom propulsion system to wiring LEDs and crafting a fully functional cockpit, every step of this remarkable start-to-finish build showcases pure creativity and engineering skill. Follow the full process — designing the frame,"
9647913,6990584,89.1,Family Transforms School Bus into Dream Home | 2-YEAR TIMELAPSE by @lifeanywhere,TechFreeze,crédito en título,lifeanywhere,11.24,15,28,345,2815,alta,D9zI2msrgNE,https://www.youtube.com/watch?v=D9zI2msrgNE,2025-08-31T11:00:16Z,"Over the course of two years, a family turned an old school bus into their dream home on wheels. This incredible timelapse captures the entire journey — from tearing out the seats to building a warm, functional space with wood interiors, cozy furniture, and all the essentials of a modern home. If you love stories of tiny living, bus conversions, or life on the road, this build will inspire you to see what’s possible with creativity and determination.  Life Anywhere  https://www.youtube.com/@life"
9213901,6359697,91.6,Man Turns Old School Bus into Amazing Mobile Home | Full Build by @lifeanywhere,Makerium,crédito en título,lifeanywhere,7.74,15,28,297,2449,alta,l9IRF-2mxns,https://www.youtube.com/watch?v=l9IRF-2mxns,2025-10-18T12:01:33Z,"Jesse and his wife Jae take on an extraordinary challenge — turning a 40-foot retired school bus into a fully functional tiny home on wheels for their family of five. From stripping decades-old metal to raising the roof by eighteen inches, every step of this full build showcases true craftsmanship and family teamwork. Watch as they transform rusted steel and bare frames into a modern, off-grid mobile home equipped with solar power, insulation, full plumbing, and beautiful handcrafted interiors. "
9109816,6404183,88.6,Man Builds a Real UFO Boat That Actually Works! | Full Build Process by @Mr_Ho,TechFreeze,crédito en título,Mr_Ho,10.61,9,29,314,1711,alta,sOOMNh89fuE,https://www.youtube.com/watch?v=sOOMNh89fuE,2025-10-01T12:15:14Z,"What happens when a man decides to build a real UFO boat from scratch—without advanced machines or high-tech factories?  In this incredible start-to-finish project, Vietnamese craftsman Mr Ho Thanh Che turns a dream into reality by designing and constructing a homemade UFO-shaped watercraft using simple tools, recycled materials, and pure determination. From the first chalk sketch on the ground to shaping molds out of dirt, layering fiberglass, welding the frame, and installing a powerful jet en"
8760144,7689897,61.3,"Farmers couldn't believe this machine, Until they saw how it worked - Most Ingenious Farm Inventions",AKLA GELEN,crédito en descripción,peakhillindustries,22.33,0,0,688,603,alta,-UMDVSsvjGk,https://www.youtube.com/watch?v=-UMDVSsvjGk,2024-09-22T19:30:00Z,"Nowadays, the livestock sector has started to invest more in technology. This increases production efficiency and creates incredible techniques. In this video, we talk about the main technologies and techniques used in animal farms. You will see many of these inventions used in farms for the first time.  Here are the main technologies and innovations used in animal farms: Automation Systems, Animal Tracking Systems, Data Analysis and Artificial Intelligence, Other Technologies. What to Expect in"
8628317,5517770,84.7,"Man Builds a FULLY FUNCTIONAL $12,000 Scale LAMBORGHINI V12 RC | @septemberflow",Gear Tech HD,crédito en título,septemberflow,109.28,3,4,238,1101,alta,eZ8P3inamzU,https://www.youtube.com/watch?v=eZ8P3inamzU,2025-12-16T17:01:15Z,"---__---__---__---__---__---__---__---__---__---__---__---__---__---__ 🔔if you like the content subscribe to the channel and activate the bell 🔔  September YT Channel: www.youtube.com/@UC1u_bLv5-LhWwAfMYtiQqug   In scale models, every detail counts, but above that are the quality standards that everyone who builds replicas follows. In the case of September, these are among the highest, and they demonstrate it with projects like this fascinating Lamborghini, which they fabricated from scratch, fo"
8590449,6659262,86.2,"MAN Builds an INCREDIBLE $7,000 SCALE CAR With FULLY FUNCTIONAL ENGINE by @septemberflow",Gear Tech HD,crédito en título,septemberflow,108.8,3,4,431,1277,alta,U0dLX-zF3IQ,https://www.youtube.com/watch?v=U0dLX-zF3IQ,2025-06-06T17:00:39Z,"MAN Builds an INCREDIBLE $7,000 SCALE CAR With FULLY FUNCTIONAL ENGINE ---__---__---__---__---__---__---__---__---__---__---__---__---__---__ 🔔if you like the content subscribe to the channel and activate the bell 🔔  Craftsman September YouTube: https://www.youtube.com/@UC1u_bLv5-LhWwAfMYtiQqug   RC Audi 100 Coupe S: https://www.youtube.com/playlist?list=PLJ0x4QdLsKhEEIM-vRYW_-4pAM7uSJt9r  While handcrafted work is often challenging due to the attention to detail it requires, when it comes to bu"
8507547,6268550,91.7,Couple Turns Old Bus into a Luxury Tiny Home on Wheels  🚍 (by @lifeanywhere ),Techno Fusion HD,crédito en título,lifeanywhere,1306.84,15,28,364,1218,alta,OnBtXu0pPzI,https://www.youtube.com/watch?v=OnBtXu0pPzI,2025-08-12T12:31:26Z,"Couple Turns Old Bus into a Luxury Tiny Home on Wheels! 🚍 Created by @lifeanywhere    Credit : Life Anywhere https://www.youtube.com/ @lifeanywhere    ---   Today we’re heading to France, where Marvin Atmoss is about to turn a plain, empty backyard into a jaw-dropping Mediterranean-style luxury garden in just four months. And trust me, this isn’t just “plant a few flowers and call it a day” — this is the full-on, curated, designer treatment.  We start in the quiet outskirts of a brand-new home, "
8461878,7796703,68.9,Man Transforms Massive Log into Amazing Boat | Start to Finish Build by @Advoko,TechFreeze,crédito en título,Advoko,9.86,2,4,849,863,alta,XN14_Vt-IKk,https://www.youtube.com/watch?v=XN14_Vt-IKk,2024-04-14T09:00:26Z,"Watch in awe as a skilled craftsman transforms massive logs into a breathtaking boat masterpiece! Witness the mesmerizing process of shaping, carving, and crafting as each piece of wood is meticulously worked on, bringing the vision to life. Join us on this journey of ingenuity and craftsmanship as we witness the birth of an amazing vessel from nature's own resources. Prepare to be amazed by the artistry and dedication of a true craftsman!   We hope you enjoy your time on our channel. Tell us wh"
7772852,6922367,77.6,Man Builds a $5000 Underground Bunker in His Backyard | Full Step-by-Step Guide by @tehnolexa,TechFreeze,crédito en título,tehnolexa,9.06,3,6,731,1099,alta,mWtcZ7idT5Q,https://www.youtube.com/watch?v=mWtcZ7idT5Q,2024-08-10T11:00:45Z,"Dive into this incredible DIY journey where @tehnolexa builds a secret underground bunker for just $5000! This start-to-finish build video offers a fascinating look at how an ordinary backyard was transformed into a hidden sanctuary. Perfect for anyone interested in DIY construction, survival prepping, or budget-friendly projects, this video takes you through each step of the process We hope you enjoy your time on our channel.  Tell us which topic you would like to see and we will definitely con"
7674888,6582525,92.6,Building Secret Tree House in the Middle of the Forest | Start to Finish by ‪@ArtSportArtSport,KLIFS TECH,crédito en título,ArtSportArtSport,4176.81,8,13,626,1226,alta,WZHIRWYHatw,https://www.youtube.com/watch?v=WZHIRWYHatw,2024-11-23T12:00:40Z,"Join @ArtSportArtSport on an incredible journey of building a secret tree house hidden deep in the forest, from start to finish! Watch as this stunning structure comes to life with natural materials, clever design, and impressive craftsmanship. Discover how this secluded retreat was built step-by-step in the heart of nature!  🔔 Subscribe to our channel https://www.youtube.com/@KLIFSTECH  Living Wilderness: Crafts and Skills YouTube: https://www.youtube.com/@ArtSportArtSport  CONTACT: 📧 Submit Sh"
7639531,7175196,63.9,15 Luxurious Motor Homes That Will Blow Your Mind,22TechZoom,crédito en descripción,TruckSurfHotel,1145.19,0,0,928,982,alta,7mEcEtu0Y_0,https://www.youtube.com/watch?v=7mEcEtu0Y_0,2024-01-26T13:05:42Z,15 LUXURIOUS MOTOR HOMES THAT WILL BLOW YOUR MIND  EarthRoamer SX https://youtube.com/watch?v=Skcm3NoQlIo   STX Volvo FH 540 https://youtube.com/watch?v=wmN5FF8fHdc https://youtube.com/watch?v=RebCKnpsHA8   Maxus V90 Villa Edition https://youtube.com/watch?v=IZ7lrBlBdzY https://youtube.com/watch?v=DucZU7R4SHI   Severn Lamb Double Deck Trolley https://youtube.com/watch?v=DX7XpSky7dg   HOUSEBOAT CLASSIC 180 https://youtube.com/watch?v=9r0HWIKr7OY https://youtube.com/watch?v=CSnTEkZqI3I   CMC ALUNA
7605353,1751245,93.4,Two Brothers Turned 100-Year Abandoned SILO Into a Luxury Family Space | @Worzalla_Brothers,Maker World,crédito en título,Worzalla_Brothers,84.74,5,17,26,2231,media,JrFvpeB2Eb8,https://www.youtube.com/watch?v=JrFvpeB2Eb8,2026-07-16T11:00:33Z,"Watch two brothers transform a 100-year-old abandoned silo into a stunning luxury family space. What begins as a cracked, forgotten stone structure slowly becomes a beautiful and functional retreat through careful planning, heavy construction, structural repairs, and skilled craftsmanship.  From clearing the site and restoring the damaged stone walls to building the interior floors, staircase, windows, living areas, and final decorative details, this video reveals the entire renovation process f"
7551941,6784770,79.3,Man Builds Amazing Lamborghini From Start to Finish By @haisupercar,TechFreeze,crédito en título,haisupercar,8.8,3,8,759,2515,alta,-EV5a6iwH5w,https://www.youtube.com/watch?v=-EV5a6iwH5w,2024-07-13T11:00:00Z,"Join us on an incredible journey as one dedicated car enthusiast spends 250 days building a breathtaking Lamborghini from scratch! This start-to-finish build showcases the entire process, from the initial planning and design phases to the final, stunning reveal Witness the precise attention to detail, the challenges faced, and the sheer determination it takes to create a masterpiece. Whether you're a car lover, a DIY enthusiast, or simply enjoy watching impressive transformations, this video is "
7174413,7174413,61.9,The Farm Producing Potato Without Soil Will Surprise You - Incredible Agriculture Techniques,AKLA GELEN,crédito en descripción,Visconeu,18.29,0,0,1360,487,alta,wPlQV9FhmqA,https://www.youtube.com/watch?v=wPlQV9FhmqA,2022-11-20T20:00:30Z,The increasing need for food leads people to new agricultural techniques and technologies. There are many methods to increase sustainability in agriculture. Here we will talk about this in the video. Let's see together what the result is when farming is done without soil. Please like and subscribe the video.  Viscon Group https://www.viscongroup.eu/ https://www.youtube.com/@Visconeu  ICAR-CPRI Shimla https://cpri.icar.gov.in/ https://www.youtube.com/@DirectorCPRI  HydroGreen https://hydrogreengl
7147277,5301725,64.2,Reviving a big 50 Year Old dead Engine Nobody Thought Would Start Again!,Techno Fusion HD,crédito en descripción,RestorationTools6868,1097.89,0,0,372,1427,alta,nPzVXbrdpHY,https://www.youtube.com/watch?v=nPzVXbrdpHY,2025-08-04T07:33:31Z,"Reviving a 50 Year Old Rusty Engine Nobody Thought Would Start Again! Engine Restoration So Satisfying You’ll Forget It Was Dead!    Credit : Restoration Tools https://www.youtube.com/@RestorationTools6868/videos  Please Subscribe this Channel (Restoration Tools)  ---  We completely tear down and rebuild the legendary **Weichai X6170ZC620-5**—a 620HP inline-six turbo diesel used in ships and industrial machines. Watch as we disassemble this marine beast, clean every part, and reassemble it step-"
7130508,6366521,87.2,A Man Builds a Secret Tree House | From Start to Finish by @Wild_Hammer,Smart Fox,crédito en título,Wild_Hammer,244.16,3,6,739,1639,alta,S5VmrPhIlA0,https://www.youtube.com/watch?v=S5VmrPhIlA0,2024-08-02T15:27:56Z,"Visit @Wild_Hammer channel to see how he survives while he travels.  In this captivating video, watch as an ordinary man fulfills his dream of survival in the woods by building his own tree house! 🏡✨ Dive into the world of true bushcraft and learn how to create a house with your own hands in the wild.  🌲 Survival in the woods - our hero uses all his survival skills to create a cozy refuge among the trees. 🛠️ House with your own hands - building a home from the ground up, all by himself! 🌳 Bushcr"
7031114,6823398,58.3,Modern Food Processing Machines operating at an Insane Level ▶2,TechFreeze,crédito en descripción,FRITSCHBakeryTechnologies,8.19,0,0,1090,832,alta,dIVX8qTj2-g,https://www.youtube.com/watch?v=dIVX8qTj2-g,2023-08-17T12:00:25Z,"The food we eat almost every day is pretty much prepared in factories before it comes to us. In 1809, Nicolas Appert invented a hermetic bottling technique that would preserve food for French troops. This gave the ability to preserve soups, fruits, and dairy products, among other foods. We can say that this was one of the big steps in the food industry. Another big step was in 1864 when Louis Pasteur discovered pasteurization. This method uses heat to destroy pathogens in milk, juice, wine, and "
